CRM Client Id,Name,Company Type,Street,Street2,City,State,Zip,Country,Phone,Mobile,Fax,Email,Website,Salesperson,Salesperson ID,Lead Generator Name,Lead Generator ID,Lead Source,Source Notes,Chatter -- Created Date,Chatter -- Last Updated Date,Chatter -- Last Updated by ID
49473C28-4A0D-44B8-8CC2-BB8EB1E4259D,"FP Holdings, L.P. dba Palms Casino Resort",Property Itself,4321 W Flamingo Rd,,Las Vegas ,NV,89103,United States,(866) 942-7777,,,,https://www.palms.com/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Referral,Brian Ambrosia ,00:00.0,04:20.2,BE86AE57-6A2A-4142-89C9-135A36C80086
D2278EFA-3FE7-48C9-9EF3-0F9B60189B7B,1 Call Service LLC,Management Company,Letter returned 2122 N Josey,,Carrollton,TX,75006,United States,(972) 418-2000,,,,http://www.1callservice.com/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,NULL,NULL,,00:00.0,49:25.3,455A85CF-EFA2-4B88-880C-81F78B4E2132
AE14A768-053F-411D-A522-D8F5EE1BC010,1000 First Avenue LLC,Property Itself,1000 1st Avenue,,Seattle,WA,98104,United States,(206) 957-1000,,,contracts@aimhosp.com,http://www.hotel1000seattle.com/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,NULL,Referral,,00:00.0,12:49.7,38897A15-8DF6-4D6C-9FFF-C492BD35B040
29BD256C-2361-40BD-8CAE-08F9D83FBEFD,119 Columbia Heights ,Property Itself,119 Columbia Heights ,,Brooklyn,NY,11201,United States,1 (949) 416-4272,,,,,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777, ,NULL,Referral,Mike Foley,00:00.0,23:18.0,CCB8D2BB-91AE-429C-9A48-853703AC0ACC
55DAB067-30E8-4E93-8CCC-BE5D82731E81,121 Broadway Apartments,Property Itself,121 E. Broadway Rd,,Tempe,AZ,85282,United States,(602) 486-0948,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,NULL,NULL,,00:00.0,01:45.5,BE86AE57-6A2A-4142-89C9-135A36C80086
F0962F1A-A3F5-4C11-8748-051ACB040071,"140 Toll House Hotel, LLC d/b/a Toll House Hotel",Property Itself,140 S. Santa Cruz Avenue,,Los Gatos,CA,95030,United States,(408) 395-7070,,,josh.bertsch@metwestterra.com,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,NULL,Referral,,NULL,14:39.7,BE86AE57-6A2A-4142-89C9-135A36C80086
0BC21A67-C771-41F0-B857-77A915F41B6E,1500 Arlington Apartments,Property Itself,1500 Arlington Blvd,,Arlington,VA,22209,United States,(571) 901-1719,,,,https://1500arlington.com/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,NULL,NULL,,00:00.0,50:30.8,E0BC07BD-4588-4661-849D-6FA294A6EC88
3C6B5B63-D6A9-4BE0-B03E-610C56D4B1C0,"1515 California Street Associates, LLC",Management Company,105 Stonepine Rd,,Hillsborough ,CA,94010,United States,,,,NULL,, ,NULL, ,NULL,NULL,,00:00.0,34:27.9,7352A30D-B9FD-4F36-8387-97DEDB400316
FC64577D-914A-4B2C-A6AB-19BC04217493,"1651 Tiburon Hotel, LLC d/b/a Lodge at Tiburon",Property Itself,1651 Tiburon Boulevard,,Tiburon,CA,94920,United States,(415) 435-3133,,(415) 435-2451,josh.bertsch@metwestterra.com,http://www.larkspurhotels.com/collection/tiburon/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,NULL,Referral,,NULL,01:07.6,6481A1B6-3C7C-4489-841F-FA6E73A11321
F665543F-F773-498D-8683-3BE43FB26B1B,21 Club Inc,Property Itself,21 West 52nd Street,,New York,NY,10019,United States,212-359-7250,,,NULL,http://www.21club.com/web/onyc/21_club.jsp,Cathy Ferrel,DF22CE8D-1256-4A1D-B8EA-810C881AA2C7, ,NULL,Referral,,NULL,29:02.2,76A5A5C3-85B4-4139-BD43-91640619973C
